"序號","ID","神獸","版本","狀態","送出台灣時間","回傳台灣時間","該次請求往返秒數（錯誤亦計）","模型審查時間","影片秒數","配額阻擋","候選路徑"
"1","beast_a01","角木蛟","10","needs-refinement","2026-09-06 10:06:30","2026-09-06 10:08:25","115.378","2026-09-06 10:12:02","6","","reports/beast-production/previews/beast_a01-attempt-10.mp4"
"2","beast_a02","亢金龍","1","needs-refinement","2026-09-06 09:44:44","2026-09-06 09:45:21","37.824","2026-09-06 09:45:48","6","","reports/beast-production/previews/beast_a02-attempt-01.mp4"
"3","beast_a03","氐土貉","1","needs-refinement","2026-09-06 09:45:48","2026-09-06 09:46:27","38.816","2026-09-06 09:46:53","6","","reports/beast-production/previews/beast_a03-attempt-01.mp4"
"4","beast_a04","房日兔","1","needs-refinement","2026-09-06 09:46:53","2026-09-06 09:47:32","38.962","2026-09-06 09:48:01","6","","reports/beast-production/previews/beast_a04-attempt-01.mp4"
"5","beast_a05","心月狐","1","needs-refinement","2026-09-06 09:48:01","2026-09-06 09:48:47","45.706","2026-09-06 09:49:21","6","","reports/beast-production/previews/beast_a05-attempt-01.mp4"
"6","beast_a06","尾火虎","1","needs-refinement","2026-09-06 09:49:21","2026-09-06 09:50:01","39.900","2026-09-06 09:50:27","6","","reports/beast-production/previews/beast_a06-attempt-01.mp4"
"7","beast_a07","箕水豹","1","needs-refinement","2026-09-06 09:50:27","2026-09-06 09:51:06","38.769","2026-09-06 09:51:36","6","","reports/beast-production/previews/beast_a07-attempt-01.mp4"
"8","beast_a08","斗木獬","1","needs-refinement","2026-09-06 09:51:36","2026-09-06 09:52:15","39.401","2026-09-06 09:52:45","6","","reports/beast-production/previews/beast_a08-attempt-01.mp4"
"9","beast_a09","牛金牛","1","needs-refinement","2026-09-06 09:52:45","2026-09-06 09:53:25","39.622","2026-09-06 09:53:51","6","","reports/beast-production/previews/beast_a09-attempt-01.mp4"
"10","beast_a10","女土蝠","1","needs-refinement","2026-09-06 09:53:52","2026-09-06 09:54:34","42.170","2026-09-06 09:54:58","6","","reports/beast-production/previews/beast_a10-attempt-01.mp4"
"11","beast_a11","虛日鼠","1","needs-refinement","2026-09-06 09:54:58","2026-09-06 09:56:21","82.690","2026-09-06 09:58:27","6","","reports/beast-production/previews/beast_a11-attempt-01.mp4"
"12","beast_a12","危月燕","1","needs-refinement","2026-09-06 09:58:28","2026-09-06 09:59:04","36.429","2026-09-06 09:59:35","6","","reports/beast-production/previews/beast_a12-attempt-01.mp4"
"13","beast_a13","室火豬","1","needs-refinement","2026-09-06 09:59:35","2026-09-06 10:00:15","39.953","2026-09-06 10:01:23","6","","reports/beast-production/previews/beast_a13-attempt-01.mp4"
"14","beast_a14","壁水貐","1","needs-refinement","2026-09-06 10:01:24","2026-09-06 10:02:03","39.680","2026-09-06 10:02:43","6","","reports/beast-production/previews/beast_a14-attempt-01.mp4"
"15","beast_a15","奎木狼","1","needs-refinement","2026-09-06 10:04:01","2026-09-06 10:04:47","46.568","2026-09-06 10:05:40","6","","reports/beast-production/previews/beast_a15-attempt-01.mp4"
"16","beast_a16","婁金狗","1","needs-refinement","2026-09-06 10:05:40","2026-09-06 10:06:31","51.572","2026-09-06 10:08:33","6","","reports/beast-production/previews/beast_a16-attempt-01.mp4"
"17","beast_a17","胃土雉","1","needs-refinement","2026-09-06 10:08:34","2026-09-06 10:09:41","67.382","2026-09-06 10:10:23","6","","reports/beast-production/previews/beast_a17-attempt-01.mp4"
"18","beast_a18","昴日雞","1","needs-refinement","2026-09-06 10:10:23","2026-09-06 10:11:23","60.126","2026-09-06 10:11:59","6","","reports/beast-production/previews/beast_a18-attempt-01.mp4"
"19","beast_a19","畢月烏","2","needs-refinement","2026-09-06 10:26:19","2026-09-06 10:27:50","91.319","2026-09-06 10:31:04","6","","reports/beast-production/previews/beast_a19-attempt-02.mp4"
"20","beast_a20","觜火猴","1","needs-refinement","2026-09-06 10:18:15","2026-09-06 10:19:12","56.727","2026-09-06 10:19:51","6","","reports/beast-production/previews/beast_a20-attempt-01.mp4"
"21","beast_a21","參水猿","1","quota-blocked","2026-09-06 10:19:51","2026-09-06 10:20:04","13.381","","","daily",""
"22","beast_a22","井木犴","1","needs-refinement","2026-09-06 10:32:54","2026-09-06 10:34:11","76.948","2026-09-06 10:37:58","6","","reports/beast-production/previews/beast_a22-attempt-01.mp4"
"23","beast_a23","鬼金羊","3","quota-blocked","2026-09-06 11:22:38","2026-09-06 11:22:43","4.367","","","monthly-spend",""
"24","beast_a24","柳土獐","1","quota-blocked","2026-09-06 11:33:43","2026-09-06 11:33:46","2.964","","","monthly-spend",""
"25","beast_a25","星日馬","0","awaiting-generation","","","","","","",""
"26","beast_a26","張月鹿","0","awaiting-generation","","","","","","",""
"27","beast_a27","翼火蛇","0","awaiting-generation","","","","","","",""
"28","beast_a28","軫水蚓","0","awaiting-generation","","","","","","",""
"29","beast_y01","角木蛟・幼子","0","awaiting-generation","","","","","","",""
"30","beast_y02","亢金龍・幼子","0","awaiting-generation","","","","","","",""
"31","beast_y03","氐土貉・幼子","0","awaiting-generation","","","","","","",""
"32","beast_y04","房日兔・幼子","0","awaiting-generation","","","","","","",""
"33","beast_y05","心月狐・幼子","0","awaiting-generation","","","","","","",""
"34","beast_y06","尾火虎・幼子","0","awaiting-generation","","","","","","",""
"35","beast_y07","箕水豹・幼子","0","awaiting-generation","","","","","","",""
"36","beast_y08","斗木獬・幼子","0","awaiting-generation","","","","","","",""
"37","beast_y09","牛金牛・幼子","0","awaiting-generation","","","","","","",""
"38","beast_y10","女土蝠・幼子","0","awaiting-generation","","","","","","",""
"39","beast_y11","虛日鼠・幼子","0","awaiting-generation","","","","","","",""
"40","beast_y12","危月燕・幼子","0","awaiting-generation","","","","","","",""
"41","beast_y13","室火豬・幼子","0","awaiting-generation","","","","","","",""
"42","beast_y14","壁水貐・幼子","0","awaiting-generation","","","","","","",""
"43","beast_y15","奎木狼・幼子","0","awaiting-generation","","","","","","",""
"44","beast_y16","婁金狗・幼子","0","awaiting-generation","","","","","","",""
"45","beast_y17","胃土雉・幼子","0","awaiting-generation","","","","","","",""
"46","beast_y18","昴日雞・幼子","0","awaiting-generation","","","","","","",""
"47","beast_y19","畢月烏・幼子","0","awaiting-generation","","","","","","",""
"48","beast_y20","觜火猴・幼子","0","awaiting-generation","","","","","","",""
"49","beast_y21","參水猿・幼子","0","awaiting-generation","","","","","","",""
"50","beast_y22","井木犴・幼子","0","awaiting-generation","","","","","","",""
"51","beast_y23","鬼金羊・幼子","0","awaiting-generation","","","","","","",""
"52","beast_y24","柳土獐・幼子","0","awaiting-generation","","","","","","",""
"53","beast_y25","星日馬・幼子","0","awaiting-generation","","","","","","",""
"54","beast_y26","張月鹿・幼子","0","awaiting-generation","","","","","","",""
"55","beast_y27","翼火蛇・幼子","0","awaiting-generation","","","","","","",""
"56","beast_y28","軫水蚓・幼子","0","awaiting-generation","","","","","","",""
"57","beast_g_qinglong","青龍","0","awaiting-generation","","","","","","",""
"58","beast_g_zhuque","朱雀","0","awaiting-generation","","","","","","",""
"59","beast_g_baihu","白虎","0","awaiting-generation","","","","","","",""
"60","beast_g_xuanwu","玄武","0","awaiting-generation","","","","","","",""
